Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"USB_DP0","OffPage","15_OTHERS","15","ITR-201C_MB","R175.2","80","560","5C","3"
"USB_DM0","OffPage","03_CONNECTOR1","3","ITR-201C_MB","CON1A.89","540","620","4B","15"
"USB_DM0","OffPage","15_OTHERS","15","ITR-201C_MB","R174.2","80","550","5C","3"
"TOUCH_XL","OffPage","15_OTHERS","15","ITR-201C_MB","U29.3","210","860","5A","14"
"TOUCH_XL","OffPage","14_CONNECTOR_TO_FB","14","ITR-201C_MB","R155.1","550","660","4B","15"
"IO_LED_COM","OffPage","14_CONNECTOR_TO_FB","14","ITR-201C_MB","U22.13","380","190","4D","6"
"IO_LED_COM","OffPage","06_CPLD","6","ITR-201C_MB","U3.103","1230","330","2C","14"
"IRQ_CPLD3","OffPage","06_CPLD","6","ITR-201C_MB","U3.40","270","770","5B","4"
"IRQ_CPLD3","OffPage","04_CONNECTOR2","4","ITR-201C_MB","CON1B.144","1080","390","2C","6"
"RMII_TXD0","OffPage","08_ENET_PHY_KSZ8041FTLI","8","ITR-201C_MB","U6.35","1260","450","2C","4"
"RMII_TXD0","OffPage","04_CONNECTOR2","4","ITR-201C_MB","CON1B.165","450","500","4C","8"
"IO_LED_ERR","OffPage","14_CONNECTOR_TO_FB","14","ITR-201C_MB","U22.15","380","170","4D","6"
"IO_LED_ERR","OffPage","06_CPLD","6","ITR-201C_MB","U3.105","1230","310","2C","14"
"ENET_MDIO","OffPage","08_ENET_PHY_KSZ8041FTLI","8","ITR-201C_MB","R72.2,U6.18","340","840","4B","4"
"ENET_MDIO","OffPage","04_CONNECTOR2","4","ITR-201C_MB","CON1B.159","440","470","4C","8"
"RMII_RXD1","OffPage","08_ENET_PHY_KSZ8041FTLI","8","ITR-201C_MB","R69.2,R75.1,U6.22","1100","790","2B","4"
"RMII_RXD1","OffPage","04_CONNECTOR2","4","ITR-201C_MB","CON1B.168","1080","510","2C","8"
"CPU_TXD2","OffPage","10_RS485","10","ITR-201C_MB","R95.1","200","350","5C","4,6"
"CPU_TXD2","OffPage","06_CPLD","6","ITR-201C_MB","U3.76","1200","600","2B","4,10"
"CPU_TXD2","OffPage","04_CONNECTOR2","4","ITR-201C_MB","CON1B.176","1080","550","2C","6,10"
"RELAY_CTRL0","OffPage","12_RALAY_CONTROL","12","ITR-201C_MB","R126.1","360","400","4C","6"
"RELAY_CTRL0","OffPage","06_CPLD","6","ITR-201C_MB","U3.72","1200","760","2B","12"
"LVDS_YP1","OffPage","07_LVDS","7","ITR-201C_MB","R36.2","1270","500","2C","14"
"LVDS_YP1","OffPage","14_CONNECTOR_TO_FB","14","ITR-201C_MB","R138.2","1120","550","2C","7"
"CPU_RXD1","OffPage","10_RS485","10","ITR-201C_MB","C62.1,R90.2,U9.7","950","320","3C","4,6"
"CPU_RXD1","OffPage","06_CPLD","6","ITR-201C_MB","U3.77","1200","590","2B","4,10"
"CPU_RXD1","OffPage","04_CONNECTOR2","4","ITR-201C_MB","CON1B.150","1080","420","2C","6,10"
"FPGA_CLK","OffPage","06_CPLD","6","ITR-201C_MB","R22.1","340","450","4C","4"
"FPGA_CLK","OffPage","04_CONNECTOR2","4","ITR-201C_MB","R8.1","450","380","4C","6"
"CPU_TXD1","OffPage","10_RS485","10","ITR-201C_MB","R93.1","200","330","5C","4,6"
"CPU_TXD1","OffPage","06_CPLD","6","ITR-201C_MB","U3.78","1200","580","2B","4,10"
"CPU_TXD1","OffPage","04_CONNECTOR2","4","ITR-201C_MB","CON1B.148","1080","410","2C","6,10"
"ENET1_INT","OffPage","08_ENET_PHY_KSZ8041FTLI","8","ITR-201C_MB","R56.2,U6.32","1260","480","2C","4"
"ENET1_INT","OffPage","04_CONNECTOR2","4","ITR-201C_MB","CON1B.135","430","350","4C","8"
"WSD2","OffPage","11_TEMP&HUMIDITY","11","ITR-201C_MB","C77.1,R116.2,U15.6","1410","520","1C","6"
"WSD2","OffPage","06_CPLD","6","ITR-201C_MB","U3.94","1200","420","2C","11"
"RMII_TXEN","OffPage","08_ENET_PHY_KSZ8041FTLI","8","ITR-201C_MB","U6.34","1260","460","2C","4"
"RMII_TXEN","OffPage","04_CONNECTOR2","4","ITR-201C_MB","CON1B.177","450","560","4C","8"
"WSD_SAMPLE2","OffPage","11_TEMP&HUMIDITY","11","ITR-201C_MB","R118.2","1410","650","1B","6"
"WSD_SAMPLE2","OffPage","06_CPLD","6","ITR-201C_MB","U3.95","1200","410","2C","11"
"ENET1_TD+","OffPage","08_ENET_PHY_KSZ8041FTLI","8","ITR-201C_MB","R60.2","450","550","4C","9"
"ENET1_TD+","OffPage","09_RJ45","9","ITR-201C_MB","R77.1,T1.1","360","320","4C","8"
"ENET1_RD+","OffPage","08_ENET_PHY_KSZ8041FTLI","8","ITR-201C_MB","R58.2","450","530","4C","9"
"ENET1_RD+","OffPage","09_RJ45","9","ITR-201C_MB","R79.1,T1.6","360","380","4C","8"
"CPU_AIN0","OffPage","15_OTHERS","15","ITR-201C_MB","U29.2","210","850","5B","4"
"CPU_AIN0","OffPage","04_CONNECTOR2","4","ITR-201C_MB","C16.1,CON1B.105","770","1010","3A","15"
"XIICSCL","OffPage","11_TEMP&HUMIDITY","11","ITR-201C_MB","R122.2,U17.3","1420","820","1B","15"
"XIICSCL","OffPage","15_OTHERS","15","ITR-201C_MB","U27.6","1500","540","1C","11"
"RMII_TXD1","OffPage","08_ENET_PHY_KSZ8041FTLI","8","ITR-201C_MB","U6.36","1260","440","2C","4"
"RMII_TXD1","OffPage","04_CONNECTOR2","4","ITR-201C_MB","CON1B.167","450","510","4C","8"
"XIICSDA","OffPage","11_TEMP&HUMIDITY","11","ITR-201C_MB","R121.2,U17.2","1420","810","1B","15"
"XIICSDA","OffPage","15_OTHERS","15","ITR-201C_MB","U27.3","1110","540","2C","11"
"CPU_AIN1","OffPage","15_OTHERS","15","ITR-201C_MB","U29.5","610","870","4A","4"
"CPU_AIN1","OffPage","04_CONNECTOR2","4","ITR-201C_MB","C15.1,CON1B.106","770","1020","3A","15"
"ENET_MDC","OffPage","08_ENET_PHY_KSZ8041FTLI","8","ITR-201C_MB","R71.2,U6.19","340","850","4B","4"
"ENET_MDC","OffPage","04_CONNECTOR2","4","ITR-201C_MB","CON1B.161","440","480","4C","8"
"LVDS_YM1","OffPage","07_LVDS","7","ITR-201C_MB","R35.2","1270","490","2C","14"
"LVDS_YM1","OffPage","14_CONNECTOR_TO_FB","14","ITR-201C_MB","R137.2","1120","540","2C","7"
"ENET1_SPEED","OffPage","08_ENET_PHY_KSZ8041FTLI","8","ITR-201C_MB","LED3.1,R46.2,R50.1,U6.43","1220","210","2D","6,9"
"ENET1_SPEED","OffPage","09_RJ45","9","ITR-201C_MB","J2.P10","530","730","4B","6,8"
"ENET1_SPEED","OffPage","06_CPLD","6","ITR-201C_MB","U3.74","1200","620","2B","8,9"
"CPU_AIN3","OffPage","15_OTHERS","15","ITR-201C_MB","U30.5","610","1040","4A","4"
"CPU_AIN3","OffPage","04_CONNECTOR2","4","ITR-201C_MB","C13.1,CON1B.108","770","1040","3A","15"
"ENET1_LINK","OffPage","08_ENET_PHY_KSZ8041FTLI","8","ITR-201C_MB","LED4.1,R47.2,R51.1,U6.42","1220","220","2D","6,9"
